ФИО;Паспорт;СНИЛС;Симптомы;Врач;Дата визита;Анализы;Дата получения;Стоимость;Карта;Повторный прием
Кожевников Владимир Русланович;AB1795044;834-280-222 21;сухость, светочувствительность, двоение;Офтальмолог;2024-12-06T08:00;общий анализ крови + томография глаза;2024-12-09T14:00;1250 руб.;SBERBANK OF RUSSIA | MASTERCARD | 2675 4331 1194 6665;2024-12-10T15:00
Егоров Владислав Максимович;92 51 196323;855-999-695 85;усталость;Эндокринолог;2024-01-01T14:00;глюкоза крови + ТТГ;2024-01-02T13:00;670 руб.;MTS BANK | MASTERCARD | 3620 9687 1265 3074;2024-01-03T14:00
Нестеров Ярослав Иванович;N77007113;922-398-388 70;обморочные состояния, нестабильный пульс;Кардиохирург;2024-08-15T10:00;эхокардиография + коагулограмма + ЭКГ;2024-08-19T14:30;6800 руб.;TINKOFF BANK | MIR | 6357 5247 2563 4084;2024-08-20T15:30
Костин Емельян Александрович;14 35 914273;205-292-864 24;вздутие, тошнота;Гастроэнтеролог;2024-02-12T15:00;биохимический анализ крови;2024-02-14T09:00;850 руб.;TINKOFF BANK | MASTERCARD | 4341 3515 8912 1874;2024-02-15T10:00
Кондратов Дамир Георгиевич;N61911731;917-156-780 96;сыпь, кашель, повышенная температура;Педиатр;2024-09-23T16:00;общий анализ мочи + биохимический анализ крови;2024-09-25T12:30;1140 руб.;SBERBANK OF RUSSIA | MIR | 7304 5692 7353 6427;2024-09-26T13:30
Шубин Геннадий Аркадьевич;87 90 763037;441-455-432 91;замедленная реакция;Невролог;2024-08-26T12:00;общий анализ крови;2024-08-28T15:30;850 руб.;GAZPROMBANK | VISA | 5901 3191 9196 8509;2024-08-29T16:30
Назаров Давид Львович;87 79 742447;906-169-798 70;снижение энергии, нестабильная температура, слабость;Терапевт;2024-09-25T13:00;общий анализ крови;2024-09-26T15:00;850 руб.;GAZPROMBANK | VISA | 1201 7954 5917 2334;2024-09-27T16:00
Гаврилов Семён Витальевич;69 26 314062;463-832-132 33;нарушения сна, перепады настроения;Психиатр;2024-02-05T09:00;биохимический анализ крови + общий анализ крови;2024-02-06T12:00;1700 руб.;MTS BANK | MASTERCARD | 7239 4622 9204 6605;2024-02-07T13:00
Власов Тимур Всеволодович;26 54 259466;550-209-186 52;нарушения речи, напряжение голоса, заикание;Логопед;2024-09-03T15:00;общий анализ крови + психодиагностика + аудиометрия;2024-09-05T16:00;7050 руб.;VTB BANK | MASTERCARD | 1299 9415 2786 9109;2024-09-06T17:00
Костин Антон Арсеньевич;71 30 833462;463-281-449 51;эмоциональное напряжение, выгорание, стресс;Психотерапевт;2024-10-01T14:00;общий анализ крови + ЭЭГ + психодиагностика;2024-10-04T09:30;7650 руб.;SBERBANK OF RUSSIA | MIR | 9841 6384 3588 2537;2024-10-07T10:30
Гусев Даниил Елисеевич;48 75 148745;923-113-503 23;хронические боли;Физиотерапевт;2024-04-09T13:00;ультразвуковая терапия + магнитотерапия;2024-04-12T09:00;800 руб.;SBERBANK OF RUSSIA | VISA | 2784 6170 2543 2842;2024-04-15T10:00
Петров Алексей Эдуардович;89 67 854949;855-963-755 78;зуд, изменения структуры кожи;Дерматолог;2024-07-10T09:00;общий анализ крови + соскоб кожи на грибки;2024-07-15T14:00;1550 руб.;GAZPROMBANK | MIR | 1029 1772 1732 1454;2024-07-16T15:00
Субботин Юрий Давидович;49 67 850290;224-334-894 50;трудности расслабления;Психотерапевт;2024-04-09T09:00;ЭЭГ + общий анализ крови;2024-04-11T17:00;2650 руб.;GAZPROMBANK | MASTERCARD | 7491 1951 1174 8020;2024-04-12T18:00
Кириллов Вадим Петрович;93 16 400167;585-589-622 96;сухость, ухудшение зрения, напряжение глаз;Офтальмолог;2024-02-07T13:00;общий анализ крови + томография глаза;2024-02-08T10:00;1250 руб.;MTS BANK | MIR | 1000 3365 6582 7598;2024-02-09T11:00
Якунин Федор Ростиславович;10 52 332047;689-573-614 33;хронические боли, скованность;Физиотерапевт;2024-02-20T17:00;магнитотерапия + дарсонвализация + ультразвуковая терапия;2024-02-22T08:00;1300 руб.;SBERBANK OF RUSSIA | MIR | 8213 6181 3978 3461;2024-02-23T09:00
Малахов Гавриил Григорьевич;37 13 197755;787-823-375 63;светочувствительность;Офтальмолог;2024-03-18T09:00;общий анализ крови;2024-03-20T16:00;850 руб.;GAZPROMBANK | MASTERCARD | 1796 1691 6799 7058;2024-03-21T17:00
Ситников Григорий Михайлович;N16042504;304-403-644 20;потеря интереса, апатия, перепады настроения;Психиатр;2024-03-19T08:00;общий анализ крови;2024-03-20T12:00;850 руб.;VTB BANK | VISA | 6989 5972 9422 3995;2024-03-21T13:00
Агеев Антон Данилович;41 18 897309;511-888-656 68;чихание;Аллерголог;2024-05-27T13:00;общий анализ крови + аллергопробы;2024-05-28T17:00;2850 руб.;SBERBANK OF RUSSIA | MASTERCARD | 3042 4308 4565 5957;2024-05-29T18:00
Шубин Владислав Андреевич;17 84 706031;376-533-639 90;утомляемость, скованность;Реабилитолог;2024-03-21T17:00;механотерапия + общий анализ крови + консультация врача-реабилитолога;2024-03-25T18:00;6050 руб.;GAZPROMBANK | VISA | 3992 6046 5355 4160;2024-03-26T14:00
Никитин Виктор Андреевич;29 16 446383;622-533-440 56;шелушение, высыпания;Дерматолог;2024-08-05T15:00;соскоб кожи на грибки + общий анализ крови + биохимический анализ крови;2024-08-08T08:00;2400 руб.;SBERBANK OF RUSSIA | VISA | 9500 7359 5533 2053;2024-08-09T09:00
Макаров Илья Ростиславович;24 52 326195;289-906-196 74;ухудшение зрения, светочувствительность;Офтальмолог;2024-08-01T13:00;офтальмоскопия + общий анализ крови;2024-08-05T13:00;1450 руб.;TINKOFF BANK | MASTERCARD | 1078 2593 2891 1406;2024-08-06T14:00
Панкратов Павел Станиславович;21 82 501968;391-209-569 34;тошнота, тяжесть после еды, дискомфорт в животе;Гастроэнтеролог;2024-05-24T15:00;биохимический анализ крови + общий анализ крови;2024-05-27T18:00;1700 руб.;VTB BANK | MASTERCARD | 5107 3116 9055 5511;2024-05-28T13:30
Ильин Георгий Тимурович;53 89 418722;732-104-724 42;общее недомогание, ломота в теле;Терапевт;2024-04-05T12:00;общий анализ мочи + общий анализ крови;2024-04-08T10:00;1140 руб.;VTB BANK | MASTERCARD | 6803 5000 4991 6570;2024-04-09T11:00
Медведев Егор Филиппович;N93725327;841-997-551 23;мышечное напряжение, хронические боли, замедленное восстановление;Физиотерапевт;2024-05-08T13:00;магнитотерапия + дарсонвализация;2024-05-10T09:00;850 руб.;SBERBANK OF RUSSIA | MIR | 7243 8744 8867 7870;2024-05-13T10:00
Пестов Дмитрий Иванович;29 45 575674;524-578-739 55;замедленная реакция, головная боль;Невролог;2024-01-26T09:00;МРТ головного мозга + ЭЭГ + общий анализ крови;2024-01-29T15:00;10150 руб.;SBERBANK OF RUSSIA | MIR | 3965 5637 1142 5650;2024-01-30T16:00
Гаврилов Иван Андреевич;44 93 590558;642-573-811 74;воспаление десен, отек;Стоматолог;2024-05-22T12:00;общий анализ крови + биохимический анализ крови + рентген зубов;2024-05-24T15:30;2400 руб.;SBERBANK OF RUSSIA | MASTERCARD | 2457 3393 3729 3057;2024-05-27T16:30
Корнилов Ратмир Всеволодович;49 72 384913;416-208-674 32;дыхательный дискомфорт;Пульмонолог;2024-11-11T08:00;рентген грудной клетки;2024-11-13T13:30;1200 руб.;VTB BANK | MIR | 6943 6794 5620 8671;2024-11-14T14:30
Романов Георгий Семенович;23 54 598570;923-871-661 66;нестабильный пульс, резкая одышка, выраженная боль в груди;Кардиохирург;2024-03-26T08:00;ЭКГ;2024-03-28T12:00;1500 руб.;SBERBANK OF RUSSIA | MASTERCARD | 3058 5584 1495 1238;2024-03-29T13:00
Комаров Николай Андреевич;84 23 644832;340-255-791 77;уплотнения, хроническая усталость, длительная боль;Онколог;2024-07-26T16:00;онкомаркеры + общий анализ крови + биохимический анализ крови;2024-07-29T11:30;4100 руб.;TINKOFF BANK | MIR | 5645 6407 5873 5224;2024-07-30T12:30
Миронов Пётр Маркович;47 76 777567;482-610-505 15;эмоциональное напряжение, стресс, трудности расслабления;Психотерапевт;2024-11-04T14:00;психодиагностика + общий анализ крови;2024-11-06T15:00;5850 руб.;MTS BANK | MASTERCARD | 1325 8375 6690 6742;2024-11-07T16:00
